t,x,u
3.925729596689336853e-01,-9.968003663796065617e-01,4.369784329347870672e-02
2.826306013340470491e-01,-4.390652077338574877e-01,7.972499494642164564e-01
3.566119298829452111e-01,1.882069088673430368e-01,-8.971673105815303195e-01
9.452415439986729950e-01,8.713954347949786072e-01,-1.080964668713570165e-01
9.924195981381437326e-01,-5.279693208461533338e-02,6.670476227150837767e-01
3.454605584002448104e-01,-8.046588578953151050e-02,7.520378928626646475e-01
6.854550300776715011e-01,-9.505024661165915045e-01,5.635737805085744290e-02
6.061666395269459384e-01,5.813233702838531691e-01,-4.222209579203849428e-01
6.713021647750448961e-01,-6.341603586639130707e-01,3.287983426289733946e-01
1.903223973180179218e-01,1.125705915120627232e-01,-6.057265344132730656e-01
7.435782307382401424e-01,3.615747370680544304e-01,-5.574744328400803584e-01
5.315476890672604648e-01,-9.271298167630654952e-01,7.687030442858008850e-02
3.399509574956089963e-01,2.577373173908772408e-01,-8.957766674789647832e-01
1.778656036392252116e-01,-4.610551071112234389e-02,5.008763280837853493e-01
8.271534568636186302e-01,1.253732499667525868e-01,-7.068862604404502203e-01
7.026867937704756040e-01,-8.010618749766964530e-01,1.924915937648454534e-01
1.981504911287208515e-01,9.293445906192998596e-01,-1.321098768160943737e-01
6.365562776169222392e-01,8.615208539006347088e-01,-1.400739437831390322e-01
8.011314775747876427e-01,6.076762977206939809e-01,-3.368432967670791922e-01
1.057792317390604531e-02,3.309742698275051076e-01,-7.651467470262389714e-01
7.926740895899935246e-01,6.256422028546742009e-01,-3.203661133381383030e-01
9.516238762666109352e-01,8.804960219420385759e-01,-1.073736491285965794e-01
1.297474097252535596e-01,-1.919937201580568242e-01,7.073545578971220937e-01
3.461220639514404063e-01,-4.920610673624881137e-01,6.957096575534172933e-01
9.599222847709112383e-01,2.228841068827185357e-01,-6.037999897561705520e-01
7.195802230587755588e-02,4.356410263715526643e-01,-9.200106380625338032e-01
3.659960804235223852e-01,5.142366542436147547e-01,-6.091522348103354245e-01
2.985991320053409392e-01,2.649822797536840469e-01,-8.904546082746322977e-01
6.320214553138333580e-01,-9.791036449125645191e-02,8.581847605699576276e-01
8.980049597595241018e-01,8.266570896046065986e-01,-1.437134985650110330e-01
2.293619686193691942e-01,-2.751099491336006508e-03,4.427240245359262971e-01
6.827485632364861390e-01,-7.106687524574468728e-01,2.885484844444975994e-01
1.759145222850992951e-01,7.484113232583069486e-01,-4.916107888505852896e-01
8.729184398286259361e-01,3.684543311644215002e-01,-5.181157232281115022e-01
5.015563051042095655e-01,-9.691806347234410701e-01,5.189994391535577428e-02
7.769784249185009983e-01,-5.914047042498677964e-01,3.853006601365275285e-01
5.093910055577042240e-01,-5.943844953790811125e-02,8.838165993130695508e-01
8.143430804333127160e-01,-2.300830453309110624e-01,6.165715188358962262e-01
5.058217755106625413e-01,-7.343715302941693501e-01,3.184496295627325391e-01
4.171343418687010196e-01,1.307604930653825104e-01,-8.710151014935363367e-01
7.564936351904731904e-01,7.861238626067179602e-02,-7.550301760840616438e-01
9.654279495008534218e-01,8.471827621411542886e-02,-6.806718045535035122e-01
9.670990041103344481e-01,6.108148428663577878e-01,-3.070195650738452020e-01
7.353126984521468623e-01,6.243169933821841600e-01,-3.405090730505057617e-01
7.295697796038927985e-01,4.192487454942006586e-02,-8.187087893796822780e-01
6.787344447283335525e-01,-6.554339222825593669e-01,3.510025840056825164e-01
6.839255310837433210e-01,3.373404837086355634e-01,-6.325479442655168594e-01
7.733240435926945766e-01,1.489537082409069235e-01,-7.183202498181570084e-01
9.767625334667129344e-02,-1.577822309122187683e-01,6.387741983040519100e-01
4.080501010652888283e-01,-1.405890951060642102e-01,8.901878362096146136e-01
1.378318770236047763e-01,-5.790536183715544460e-02,4.876718694783822583e-01
6.751222240235877914e-01,-2.606547905072842397e-01,7.082579383927076755e-01
8.480100234092681211e-01,-3.757187522617169151e-01,5.362713096606028795e-01
9.612393081855250543e-01,3.867824729758433389e-01,-4.439639979256129187e-01
2.848691552922750780e-01,9.181139025442639490e-01,-1.570858123365905246e-01
4.728812075167837525e-01,-8.647325571175303871e-01,1.542412306419343737e-01
2.098501098046327007e-01,7.428999215764688913e-01,-4.479518132631853389e-01
8.298465315450692659e-01,-8.952465084544782847e-01,1.062454761601493436e-01
7.082895434377360910e-01,-2.503386959862017314e-01,6.762703743492027852e-01
5.417808809426378769e-01,6.213267789975507327e-01,-4.142080831310210320e-01
4.507999578141661523e-01,-5.632727282078633380e-01,5.489242223942484289e-01
3.448845311226256261e-02,1.128436272753758907e-01,-4.422942247428169327e-01
4.210426456083514735e-01,-3.399451434126574689e-01,7.965735522172527894e-01
3.816819009251946060e-01,4.500592084070786925e-02,-6.781681847314663392e-01
7.095034011579620659e-01,1.375099641985622068e-01,-7.662473986429955142e-01
5.036912025278306171e-01,7.053457262651463555e-01,-3.504727992447060347e-01
2.588865649040501538e-01,-5.430901872458762103e-01,7.137955363624703953e-01
7.090053947911267862e-02,3.866711318773901063e-01,-8.537496361632077591e-01
7.822346202182488550e-01,5.885176327180479117e-01,-3.911636069597465015e-01
8.132739286826197178e-01,-4.293328871771244781e-01,4.980566433031576312e-01
3.040757272008215439e-01,3.458754522799152298e-01,-8.958372984778616432e-01
6.760984393297918560e-01,8.575056165871057789e-01,-1.551932488185928383e-01
7.203741705959486596e-01,-2.458673480220729957e-01,6.974238721587757706e-01
8.006205341158452171e-01,-3.311599549295174416e-01,5.647017142345048812e-01
1.068190261982541189e-01,2.778879437496788452e-01,-7.637596596315459063e-01
3.387802652400573322e-03,4.985561729724639068e-01,-9.062664876261994351e-01
3.561495040213946695e-01,-5.071930513929856499e-01,6.831092400529198416e-01
6.211086840729628245e-01,-5.212951677146466789e-01,4.608616911399696647e-01
5.889582688018344392e-01,6.557536638624974490e-01,-3.764925734281837633e-01
9.766764484760965814e-01,-4.721293247426086026e-01,4.084202123474610646e-01
4.952457585074052648e-01,-4.406551737569206484e-01,6.572339313853416964e-01
8.841679146953718149e-01,-1.329657683060785356e-01,6.537382381035136136e-01
1.337868012331476786e-01,-1.644972565895859162e-01,6.999019444326010086e-01
5.582030139045984773e-01,5.827221226107517360e-01,-4.620999684038115674e-01
6.869723744510980445e-02,-4.807786434032472744e-01,8.889541122777939730e-01
8.468895114050767337e-01,-8.767369739180512767e-01,1.079760639808607370e-01
7.308732697607381867e-01,-9.083891883469394912e-01,8.605174250549998960e-02
1.689420577957678749e-01,3.424441278955938639e-01,-8.796705036271705858e-01
2.886683640484382085e-01,6.919552710133642925e-01,-4.885212164080440789e-01
6.649119365423552530e-01,-9.738327302198499513e-01,1.944080838599562822e-02
5.007176174929056645e-01,-3.579715098049767175e-01,7.112342310256121181e-01
4.997512175985588945e-01,9.129614928946212515e-01,-1.343991027804444238e-01
4.336215924393440613e-01,8.741828835707909917e-01,-1.948248847333271527e-01
5.155970223777581740e-01,6.573543555539185235e-03,7.839352424445595879e-01
3.982596552138925050e-01,-9.137975045546433694e-01,1.156759049843963799e-01
9.011067903406378976e-01,8.395608122160511666e-01,-1.314508320944386133e-01
4.504375543042600238e-01,4.120466696164672982e-01,-6.824478519625564177e-01
1.160488641985164548e-01,2.578069143498151750e-01,-7.514549508400294453e-01
8.825927552779994079e-01,7.327424221753244815e-01,-2.462773308136085026e-01
6.340387799188139661e-01,-2.126290952907619047e-01,7.704449167104107099e-01
4.794196273466647673e-01,-6.500822356162585525e-01,4.080862927950064667e-01
5.461768057590628000e-01,-4.130997334857726688e-01,6.193815107853160029e-01
1.802564049992778639e-01,1.140791787517365652e-01,-5.929555363496640252e-01
6.264702108874617981e-01,2.446720471939427544e-01,-7.333617286288350856e-01
3.805838120586741979e-01,-1.982640579285568361e-01,8.955398375477899853e-01
6.768224265612801105e-01,7.538194468726713282e-01,-2.229433699772836452e-01
1.556604998327971723e-01,-2.290504764401832816e-01,7.743737169014571764e-01
6.554275013145730577e-01,-5.598748599094898193e-01,4.531941395733558031e-01
1.350247727376115980e-01,6.421837767679559050e-01,-6.884034087110297850e-01
3.706210980114402753e-01,-6.510028345952199036e-01,4.664271411921104837e-01
7.552457635596555585e-01,-8.230912342881695487e-01,1.760011705013668493e-01
7.882764117605769449e-01,-5.608439970844452116e-01,3.806402067112476528e-01
2.756761530681713923e-01,-1.567330831761351018e-01,8.020798195094933636e-01
8.806282166092669339e-01,7.541453681752745553e-01,-1.873197877484813201e-01
3.022648495952852121e-01,-9.215997632754489022e-01,1.169547930707972444e-01
1.034612703457948868e-03,-5.459658426187239399e-01,8.759121496579702626e-01
6.845083664224865805e-01,-6.577100154953514632e-01,3.298818895789117911e-01
4.096071372388628840e-01,3.545678426840592756e-02,-6.318866903040445404e-01
8.715908565173486888e-01,-4.501204435659424963e-01,4.718218363510464641e-01
9.701643060786563355e-01,-2.883257236138683233e-01,5.215942199058682949e-01
4.476193054573364138e-01,-4.379272957274420452e-01,6.568178201876662126e-01
3.417392555736386006e-01,8.232342359521396258e-01,-2.683097155302883730e-01
2.147018823626554163e-01,-4.924690249962273558e-01,8.091100649985615290e-01
5.742533090703432208e-01,1.663748660583084238e-01,-8.490752354953369219e-01
4.830012309242440738e-01,-7.669762799257142660e-01,2.671491059842199256e-01
2.131347979360475042e-01,1.560883027397272915e-01,-6.961636684738157221e-01
3.312005730004634607e-01,-7.162198118764595556e-01,4.384691630531872830e-01
4.836558841926801300e-01,1.957201524108567181e-01,-8.857563874771514634e-01
2.870225419922654009e-01,8.875476938934343529e-01,-1.976200054963728192e-01
2.077283790241855055e-01,7.685898964973822967e-01,-4.336257632840815890e-01
9.450460257272725872e-01,-5.786934481615224612e-01,3.459524446605889980e-01
9.104043552008358464e-01,-4.122483148957645227e-01,4.483959522179509216e-01
5.957860624008987083e-01,8.114421028659493107e-01,-2.281002368311094708e-01
4.063809539107378077e-01,-7.550456115350918651e-01,3.388988832769468384e-01
5.507176890017579929e-01,-4.573720703464072557e-01,5.948223650568501553e-01
4.217898707303391337e-02,9.814303167493532154e-01,-5.430281538207495234e-02
1.570503984396577346e-01,2.151202434160393029e-01,-7.153215897937015288e-01
1.071445337644828522e-01,-9.623701214283078009e-01,1.104822683780363329e-01
9.836070497431388393e-01,-1.053838603329415591e-02,6.314226461295625592e-01
4.564519849493721138e-01,-7.469524833126428565e-01,3.140120184579891505e-01
3.218806755532229724e-01,-7.559739614301266286e-01,3.617354511123989091e-01
6.747186571780002806e-01,-2.096412598103396530e-01,7.372178449221999941e-01
7.407293015532555591e-01,8.143261830166004245e-01,-1.952148866401107463e-01
3.281400610358499170e-01,1.052225000951612088e-02,4.493483818512634120e-01
5.626464007431510872e-01,1.540808200459673483e-01,-8.629180225169204022e-01
7.954157041819185370e-01,7.526817319603547052e-01,-2.243246580466148055e-01
6.641584396069144525e-01,6.366700770970223910e-01,-3.614856512003894462e-01
1.362454997027561232e-01,-9.096346301644975263e-02,5.418642731016273251e-01
8.124059741714257932e-01,-7.839742165959984188e-01,2.112468322700093992e-01
9.372537365463170511e-01,-5.647007664404481986e-01,3.510511171413305265e-01
8.762138130242971279e-01,-1.804972239836684089e-01,6.420125115241896996e-01
7.423592433952290737e-01,4.624967259561358901e-01,-5.033747343977262867e-01
5.565949070808320354e-01,8.054291174172205636e-01,-2.475358843474018133e-01
6.937535715416870419e-01,8.665510012949904084e-01,-1.477881871362005939e-01
8.305790260680976367e-01,-6.030726006406212925e-01,3.313606274570594090e-01
4.864930927307380415e-01,4.551479045907451670e-01,-6.117252482873295483e-01
6.717515150914918909e-01,1.912746243031839821e-01,-7.572358807151651217e-01
8.092122404710648809e-01,4.280545522789735990e-01,-4.628756137597739850e-01
6.380596172108110586e-02,5.369454700318361251e-01,-9.094807341683287527e-01
2.389898991163229569e-01,-2.438631319840662837e-01,8.792921943803129192e-01
3.262493937064371297e-01,-1.364273102685786832e-02,5.996228286620125525e-01
2.705436239937538678e-01,-2.617194134721119170e-01,8.871812733751014424e-01
4.078234292210002332e-01,-1.162003157412936361e-01,8.663213957441030511e-01
5.640686427946687287e-01,-6.808629275627973154e-01,3.595955136088014870e-01
7.636113832949398272e-01,-8.038023398630804728e-01,1.696844316914253026e-01
7.286453381242470329e-01,-1.183262681527543769e-01,7.652591918293342177e-01
6.191560598942776883e-01,-6.389080166750036316e-01,3.560435729720705655e-01
8.634982520037992604e-02,-9.954324358223369806e-01,2.436132963518117950e-02
5.768606444209367634e-02,-6.564134245601376261e-01,7.457224784201461620e-01
5.683303777708028637e-01,-2.169220219399314864e-02,8.879721038538302968e-01
6.167828210885349938e-01,3.857382093617016672e-01,-6.195460750090256985e-01
7.674116838905346016e-01,-6.592401557594218531e-01,3.021478479861237076e-01
5.760597858941902683e-01,-7.018222012185897363e-01,3.030165078330819828e-01
1.732117263679603392e-01,8.976386183422930820e-01,-2.223852825904405750e-01
6.659050742623240371e-02,1.954600130725454576e-01,-6.086640608772490024e-01
3.577326396235024353e-01,8.260823222949724709e-01,-2.670358730213383547e-01
6.401487530862781661e-03,5.275743712541536290e-02,-8.551353554380730637e-02
4.730984321093312239e-01,-8.317058822713940813e-02,8.648405097504009431e-01
3.195473513251727571e-01,-7.958867431388068070e-01,3.042596566660252799e-01
4.450256791312170446e-01,7.093113561428103786e-01,-3.627361682978799129e-01
5.804042895598290341e-01,-3.092265884763079065e-01,6.951873552655323252e-01
4.274302641713056961e-02,-5.404994015971773536e-01,8.684530995885262339e-01
4.396769845359447260e-01,-9.991548800499745475e-01,1.163795334136579103e-03
4.523465254741868558e-01,-3.187010662022553564e-01,7.852529310537987861e-01
4.287694177858437650e-01,9.959600816527047762e-01,-7.786202848250950263e-03
5.732638114814319064e-01,2.148169112346594023e-01,-8.175064756295121748e-01
3.912159186485270057e-01,5.435925892292883255e-01,-5.833314710324276620e-01
4.022332838249125242e-01,1.692946897850506893e-01,-8.986860004368655286e-01
8.996030687711239482e-01,9.803627271097852258e-01,-1.899937556372001402e-02
9.202169079352956471e-01,7.710622313197739164e-01,-2.262196435937696426e-01
1.643507037231056733e-01,-9.986941722445816794e-01,1.938728459677291002e-02
2.085677164880284096e-02,-8.796965768328497415e-01,3.102454097214820128e-01
4.226576725462179995e-01,9.846467551994786405e-02,-8.447241787310814098e-01
7.131973448925809089e-01,-3.183300406924829407e-01,6.234347851415441566e-01
3.089920636320483416e-01,6.300404793600400399e-01,-5.680253800291829025e-01
5.589320531468127129e-01,-8.884097574834148858e-02,8.899676780127162568e-01
7.316540383647632817e-01,6.036940442086107250e-01,-3.779253761890192242e-01
6.111590314871514495e-01,8.606413711715192871e-01,-1.632213087804660345e-01
3.396191624919198127e-01,-9.538973470909888341e-01,5.685821939066770803e-02
2.585637041685038273e-01,5.324290777007052444e-01,-7.073231765575974661e-01
9.418800715137672919e-01,-5.160880965393959130e-01,3.814812978527012399e-01
8.652085329527559043e-02,-4.744025712854411658e-01,9.315024382361358768e-01
1.716325637978806107e-01,-5.363382579540454387e-02,5.093029599709495425e-01
2.280039190999572085e-01,-6.756582274707709779e-01,5.270168631837789386e-01
8.492896800227928145e-01,-8.635540650989692590e-01,1.045815751389124332e-01
5.160975388887965032e-01,-2.748554071941589072e-02,8.407123803951473962e-01
4.345667964754282853e-01,-3.191005407490954404e-02,8.235209204457882848e-01
7.115786765014208148e-01,2.249110181112232709e-01,-7.110145151498751259e-01
2.897828951874604764e-01,-2.756856810376375755e-01,8.661481948512530504e-01
7.454276550263334578e-01,5.477290173305040533e-01,-4.177201554705907705e-01
6.750662894190267993e-01,-1.019647628537654338e-01,8.247677452304826851e-01
2.903820281991438268e-01,4.337563185369144314e-01,-8.081370005387831235e-01
3.423360819855519876e-01,-6.800098638812055452e-01,4.468757494611588776e-01
1.970363080123200827e-01,-3.355588988163262787e-01,8.865306247848544485e-01
3.210072669458207129e-01,9.806047592551108139e-01,-2.831838093562109512e-02
6.250804497860943387e-01,-6.405094066285703658e-01,3.447679941436411211e-01
5.568283366603075102e-01,-2.130558192409948148e-02,8.540186165694541032e-01
2.423293503908470203e-01,3.110808131454831926e-01,-9.256947034558482557e-01
7.838483351384438746e-01,4.394981727050424336e-01,-4.898559922883271578e-01
1.148385680857619828e-01,-1.936607338813716161e-01,7.016302596270104219e-01
2.808810911958430356e-01,-6.937616899769460943e-02,6.709037873827408127e-01
7.397586786143307558e-01,-9.117723577782244071e-01,8.293006156943960594e-02
1.407695318794596195e-01,4.652019004493019860e-01,-8.702952216946847619e-01
8.176096132451129428e-01,-9.866180267493882550e-01,1.778968788732288031e-02
3.284638603145706437e-02,-1.814001701239014164e-01,6.042128032166360629e-01
3.559808745807575558e-01,4.504294307964797905e-01,-7.352080707000554494e-01
1.126955923808929949e-01,1.001848672675711427e-01,-5.089078563199691541e-01
5.880000573601732450e-01,8.814320841108331805e-01,-1.390054699423212414e-01
7.819254304574788650e-01,-1.677532893288711247e-01,6.925541393578932281e-01
1.140856597922645932e-01,-9.926201626093258401e-01,3.950709119047121631e-02
1.383092965101683225e-01,6.724692999784687153e-02,-4.317319633307777904e-01
9.853410712514671932e-01,7.670280382635028538e-01,-2.010542023093286890e-01
5.565837831718607465e-01,8.360802290117899105e-01,-2.017134825904801088e-01
4.373722592017823541e-01,-7.729713561770483743e-01,3.049967855078256074e-01
5.972707292816250568e-01,5.595824778210152228e-01,-4.643902012030441950e-01
8.904569669421577016e-01,4.003242485561160358e-01,-4.733113962386824580e-01
1.372600343718922700e-01,-2.840323003125753143e-01,8.304959865552886678e-01
7.579456658208563180e-01,3.763154526294352209e-01,-5.652029602923753782e-01
5.903585588340350965e-01,-7.288646975574391007e-01,3.030554956721724924e-01
3.370690911912194165e-01,-4.089183702816996391e-01,7.815765598165209660e-01
5.355256246416076893e-01,-6.982632446065748510e-01,3.414930728234733537e-01
8.451239973136603911e-01,-1.403086364358376859e-01,6.939517221285061988e-01
6.930325251026490108e-01,9.808261505180997375e-01,-8.357778605824015689e-03
6.228189693210701705e-01,3.065749978642005047e-01,-6.949407761190045107e-01
8.462964632672572707e-01,-3.728762311413169606e-02,7.505393636167303484e-01
1.398751005560039395e-02,-9.580777763182930507e-01,1.472273993366755296e-01
5.970576156298614823e-01,6.429532526915597845e-01,-3.500733390782440613e-01
2.793743009957821988e-01,-7.172772784665348844e-02,6.793631564483029184e-01
8.458374895067581889e-01,-9.496272320298504432e-02,7.193013243933461531e-01
5.889345053710540734e-01,-6.974967218206780117e-01,3.204930416055803422e-01
7.955991606196239907e-01,-8.496092644171679975e-01,1.175459319955431819e-01
5.916627248137853456e-01,-8.821577336228036970e-02,8.721574148305761831e-01
5.936185322733000813e-01,7.591406239305173997e-01,-2.538185791528019264e-01
5.669994588756438469e-01,-3.744370117260049646e-01,6.799749624098416767e-01
8.517084874582390164e-01,-4.021808325165363573e-01,5.035329907520673665e-01
